moduleID,moduleCode,moduleName,moduleDescription,SemesterOfStudy,YearOfStudy,Core,validated
m-027,IVM 320,IVM 320 catch phrase,Sentence description for IVM 320,2,3,true,true
m-028,STK 353,STK 353 catch phrase,Sentence description for STK 353,2,3,true,true
m-029,WST 212,WST 212 catch phrase,Sentence description for WST 212,1,2,true,true
m-030,INF 315,INF 315 catch phrase,Sentence description for INF 315,1,3,true,true
m-031,INF 324,INF 324 catch phrase,Sentence description for INF 324,2,3,true,true
m-032,INF 354,INF 354 catch phrase,Sentence description for INF 354,1,3,true,true
m-033,INF 370,INF 370 catch phrase,Sentence description for INF 370,1,3,true,true
m-034,OBS 210,OBS 210 catch phrase,Sentence description for OBS 210,1,2,true,true
m-035,BME 120,BME 120 catch phrase,Sentence description for BME 120,2,1,true,true
m-036,BOT 161,BOT 161 catch phrase,Sentence description for BOT 161,2,1,true,true
m-037,CMY 117,CMY 117 catch phrase,Sentence description for CMY 117,1,1,true,true
m-038,CMY 127,CMY 127 catch phrase,Sentence description for CMY 127,2,1,true,true
m-039,GTS 161,GTS 161 catch phrase,Sentence description for GTS 161,2,1,true,true
m-040,LST 110,LST 110 catch phrase,Sentence description for LST 110,1,1,true,true
m-041,MBY 161,MBY 161 catch phrase,Sentence description for MBY 161,2,1,true,true
m-042,MLB 111,MLB 111 catch phrase,Sentence description for MLB 111,1,1,true,true
m-043,MTL 180,MTL 180 catch phrase,Sentence description for MTL 180,1,1,true,true
m-044,PHY 131,PHY 131 catch phrase,Sentence description for PHY 131,1,1,true,true
m-045,WTW 134,WTW 134 catch phrase,Sentence description for WTW 134,1,1,true,true
m-046,ZEN 161,ZEN 161 catch phrase,Sentence description for ZEN 161,2,1,true,true
m-047,COS 110,COS 110 catch phrase,Sentence description for COS 110,2,1,true,true
m-048,COS 122,COS 122 catch phrase,Sentence description for COS 122,2,1,true,true
m-049,FSK 176,FSK 176 catch phrase,Sentence description for FSK 176,2,1,true,true
m-050,JSU 120,JSU 120 catch phrase,Sentence description for JSU 120,2,1,true,true
m-051,SWK 122,SWK 122 catch phrase,Sentence description for SWK 122,2,1,true,true
m-052,WTW 164,WTW 164 catch phrase,Sentence description for WTW 164,2,1,true,true
m-053,COS 132,COS 132 catch phrase,Sentence description for COS 132,1,1,true,true
m-054,EBN 111,EBN 111 catch phrase,Sentence description for EBN 111,1,1,true,true
m-055,FSK 116,FSK 116 catch phrase,Sentence description for FSK 116,1,1,true,true
m-056,JSU 110,JSU 110 catch phrase,Sentence description for JSU 110,1,1,true,true
m-057,WTW 158,WTW 158 catch phrase,Sentence description for WTW 158,1,1,true,true
m-058,CHM 172,CHM 172 catch phrase,Sentence description for CHM 172,2,1,true,true
m-059,NMC 123,NMC 123 catch phrase,Sentence description for NMC 123,2,1,true,true
m-060,MGC 110,MGC 110 catch phrase,Sentence description for MGC 110,1,1,true,true
m-061,ALL 126,ALL 126 catch phrase,Sentence description for ALL 126,2,1,true,true
m-062,BUS 100,BUS 100 catch phrase,Sentence description for BUS 100,1,1,true,true
m-063,EKN 110,EKN 110 catch phrase,Sentence description for EKN 110,1,1,true,true
m-064,EKN 120,EKN 120 catch phrase,Sentence description for EKN 120,2,1,true,true
m-065,FDM 120,FDM 120 catch phrase,Sentence description for FDM 120,2,1,true,true
m-066,INF 112,INF 112 catch phrase,Sentence description for INF 112,2,1,true,true
m-067,OBS 114,OBS 114 catch phrase,Sentence description for OBS 114,1,1,true,true
m-068,RRP 100,RRP 100 catch phrase,Sentence description for RRP 100,1,1,true,true
m-069,STC 122,STC 122 catch phrase,Sentence description for STC 122,2,1,true,true
m-070,STK 110,STK 110 catch phrase,Sentence description for STK 110,1,1,true,true
